name,price,first_name,last_name,above_100
William Dixon,109.03727963458523,William,Dixon,True
Kristen Horn,262.52465219225206,Kristen,Horn,True
Kimberly Chang,187.00725827774068,Kimberly,Chang,True
Mary Ball,283.17464763656955,Mary,Ball,True
Benjamin Craig,143.8715816881791,Benjamin,Craig,True
Cathy Werner,61.508991352851325,Cathy,Werner,False
Brandon Bell,48.63730910375835,Brandon,Bell,False
Paul Farley,12.389464788592939,Paul,Farley,False
Sarah Mcdaniel,151.59544716874203,Sarah,Mcdaniel,True
Caroline Anderson,75.62152102993683,Caroline,Anderson,False
Carl Jones,147.02940469082753,Carl,Jones,True
Scott Lee,244.18565270607758,Scott,Lee,True
Kaylee Coleman,17.864270321996845,Kaylee,Coleman,False
Charles Parker,215.53728302426862,Charles,Parker,True
Susan Hess,38.359970628717974,Susan,Hess,False
Kiara Collier,204.18254858412087,Kiara,Collier,True
Mr. Scott Martinez,165.8514289408149,Scott,Martinez,True
Christopher Ortega,30.301445064472407,Christopher,Ortega,False
Michael Russell,243.17249105103508,Michael,Russell,True
Dwayne Johnson,287.4932856123935,Dwayne,Johnson,True
Patty Smith,180.23442574473592,Patty,Smith,True
Deanna Sherman,99.79911841562617,Deanna,Sherman,False
Douglas Francis,161.76889080563518,Douglas,Francis,True
Vicki Diaz,18.649876721417435,Vicki,Diaz,False
Robin Phillips,244.91198356198336,Robin,Phillips,True
Travis Rice,141.4988254107795,Travis,Rice,True
Ashley Rocha,50.00303730985961,Ashley,Rocha,False
Sarah Jacobson,80.48182457363063,Sarah,Jacobson,False
Kayla Shannon,98.91531394497848,Kayla,Shannon,False
Sean Wang DDS,220.62821774950515,Sean,Wang,True
Richard Estrada,49.16869151205603,Richard,Estrada,False
Joseph Torres,150.12378419766594,Joseph,Torres,True
Kim Jones,18.84343770225838,Kim,Jones,False
Melissa Tanner,269.18402994297986,Melissa,Tanner,True
Jackson Cline,64.31251721074351,Jackson,Cline,False
Sonya Foster,296.2155012166741,Sonya,Foster,True
Allen Williams,15.390831703593,Allen,Williams,False
Mr. Thomas Rivera,95.22843715592121,Thomas,Rivera,False
Jamie Silva,296.82440753934657,Jamie,Silva,True
Kathleen Moore,92.50052419128963,Kathleen,Moore,False
Evelyn Pineda,169.22892925664138,Evelyn,Pineda,True
Kyle Peters,106.7990952132163,Kyle,Peters,True
Anthony Cruz,49.101998173197686,Anthony,Cruz,False
Eric Flores,122.95569856549317,Eric,Flores,True
Anna Richardson,254.49526058922797,Anna,Richardson,True
Gary Harper,47.59652591777343,Gary,Harper,False
Linda Johnson,115.36278154605293,Linda,Johnson,True
Melissa Smith,87.97994845806541,Melissa,Smith,False
Kristen Floyd,135.02304134412356,Kristen,Floyd,True
William Diaz,192.14913546689587,William,Diaz,True
Benjamin Smith,134.90529389051355,Benjamin,Smith,True
David Glenn,216.29104632060702,David,Glenn,True
Dawn Jones,271.6144998802729,Dawn,Jones,True
Joel Smith,14.494919799933415,Joel,Smith,False
Mr. Larry Grimes MD,268.6758682473656,Larry,Grimes,True
Joseph Arnold,121.7750468474434,Joseph,Arnold,True
Kyle Long,241.6216391420153,Kyle,Long,True
Brittany Day,261.54605742206627,Brittany,Day,True
Bobby Ward,63.51303580081721,Bobby,Ward,False
Thomas Lee,254.07557711297557,Thomas,Lee,True
Jennifer Hansen,101.48873523428664,Jennifer,Hansen,True
Lisa Murray,176.09191738609584,Lisa,Murray,True
Meghan Wade,273.23034094310503,Meghan,Wade,True
Tammie Brooks,84.88856949195045,Tammie,Brooks,False
Maria Bell,264.07466519472524,Maria,Bell,True
Allison Livingston,130.34844264841078,Allison,Livingston,True
Chris Hays,17.342763790337447,Chris,Hays,False
Courtney Mitchell,78.93257699026059,Courtney,Mitchell,False
Shawn White,188.02192560020146,Shawn,White,True
Taylor Gomez,225.01982371477402,Taylor,Gomez,True
Jeremy Rodriguez,200.72482076620912,Jeremy,Rodriguez,True
April Garcia,66.24555967130416,April,Garcia,False
Zachary Watts,15.497387859732205,Zachary,Watts,False
Sarah Montoya,206.82125465342602,Sarah,Montoya,True
Jennifer Barker,89.18615989096851,Jennifer,Barker,False
Sharon Garza,72.3577270367147,Sharon,Garza,False
Tiffany Stevens,196.3793220138052,Tiffany,Stevens,True
Ruben Armstrong,93.69836737933716,Ruben,Armstrong,False
Dr. Jeffrey Spencer,271.16228201716683,Jeffrey,Spencer,True
Nicole Ramsey,247.85960710449834,Nicole,Ramsey,True
Anne Roy,277.93248205609933,Anne,Roy,True
Lori Sanchez,285.6616404970253,Lori,Sanchez,True
Allison Chavez,126.85021100807128,Allison,Chavez,True
Marcus Adams,36.470408936676726,Marcus,Adams,False
Mary Smith,16.315071974183017,Mary,Smith,False
Joseph Reed,178.45767424473252,Joseph,Reed,True
Jason Armstrong,26.045257464740853,Jason,Armstrong,False
Jeff Armstrong,88.47561283959318,Jeff,Armstrong,False
Sean Shields,247.83952552279044,Sean,Shields,True
Jessica Allison,104.7423079789625,Jessica,Allison,True
Christian Grant,99.11707916707049,Christian,Grant,False
Edward Watson,180.35355894236386,Edward,Watson,True
Derrick Cooke,142.09011596094248,Derrick,Cooke,True
Arthur Hall MD,235.96697489958774,Arthur,Hall,True
Sean Patrick,139.45079943481065,Sean,Patrick,True
Heather Collins,127.39257340710478,Heather,Collins,True
Megan Gomez,107.86244506859772,Megan,Gomez,True
William Hale,114.67092535958612,William,Hale,True
Olivia Thompson,8.608441013604939,Olivia,Thompson,False
Lori Torres,18.858274333009923,Lori,Torres,False
Vickie Hernandez,214.93218067750684,Vickie,Hernandez,True
Kimberly Brown,40.31993270151361,Kimberly,Brown,False
Sherry Meza,182.8545498809053,Sherry,Meza,True
Phillip Hansen,44.116117044254466,Phillip,Hansen,False
Jeanette Knight,28.686943288269372,Jeanette,Knight,False
Kayla Hanson,27.63036397054156,Kayla,Hanson,False
James Johnston,284.42905543555884,James,Johnston,True
Dr. John Porter,53.72799273817649,John,Porter,False
Elizabeth Reyes,93.6807568419092,Elizabeth,Reyes,False
Kristen Henry,77.0062435699163,Kristen,Henry,False
Claudia Anderson,160.34015926115842,Claudia,Anderson,True
Nicholas Webb,18.71038619331413,Nicholas,Webb,False
Allison Cooper,206.04210681966842,Allison,Cooper,True
Zachary Barnes,280.7741314675942,Zachary,Barnes,True
Gregory Hill III,265.97658083058303,Gregory,Hill,True
Terry Ayers,16.511638988306093,Terry,Ayers,False
Jessica Wilson,290.4095460874849,Jessica,Wilson,True
Daniel Frazier,190.32919165960308,Daniel,Frazier,True
Brian Welch,218.250508277542,Brian,Welch,True
Carol Chavez,123.18344273633505,Carol,Chavez,True
Ethan Mcdonald,214.35031737281642,Ethan,Mcdonald,True
Gerald Martinez,57.547863563924366,Gerald,Martinez,False
Eric King,59.879264225985686,Eric,King,False
Sylvia Walters,110.94631320914492,Sylvia,Walters,True
Jonathan Lane,64.46710142329968,Jonathan,Lane,False
Matthew Turner,180.2628702175462,Matthew,Turner,True
Jeffrey Bauer,30.51584180732109,Jeffrey,Bauer,False
Jessica Shaffer,54.90193650996717,Jessica,Shaffer,False
Chris Spencer,251.37528306509915,Chris,Spencer,True
Mary Clarke,236.0529878684694,Mary,Clarke,True
Timothy Mendoza,105.98348156256873,Timothy,Mendoza,True
Alicia Hoffman,182.3436990317387,Alicia,Hoffman,True
Joseph Gardner,144.809134447454,Joseph,Gardner,True
Rachael Rangel,297.94964055273493,Rachael,Rangel,True
Jeffrey Harrington,194.27163383508275,Jeffrey,Harrington,True
Sophia Randolph,158.54312598904266,Sophia,Randolph,True
Debbie Freeman,275.87191674948485,Debbie,Freeman,True
Matthew Braun,201.77496567973785,Matthew,Braun,True
Sheri Hudson,268.3748401506698,Sheri,Hudson,True
Mary King,204.07857538584167,Mary,King,True
Beth Davis,155.06806482630742,Beth,Davis,True
Margaret Castillo,193.90632444973315,Margaret,Castillo,True
Tommy Sandoval,172.28304096219406,Tommy,Sandoval,True
Christopher Hines,46.554352989801856,Christopher,Hines,False
Richard Wright,208.35969686386207,Richard,Wright,True
Michael Brown,278.52308864414647,Michael,Brown,True
Nathan Yu,134.18950975303386,Nathan,Yu,True
Cameron Ford,248.89213816817463,Cameron,Ford,True
Carla Hayes,265.3745758879461,Carla,Hayes,True
Marissa Matthews,136.09257765126094,Marissa,Matthews,True
Dr. Samuel Thompson,237.1592416495993,Samuel,Thompson,True
Gary Figueroa,168.94476842778406,Gary,Figueroa,True
Michael West,146.88868490813215,Michael,West,True
Martin Walton,140.34005756647483,Martin,Walton,True
Zachary Lee,8.667301583326669,Zachary,Lee,False
Christopher Stephenson,67.01185632582161,Christopher,Stephenson,False
Eric Ortiz,117.72424575203449,Eric,Ortiz,True
Kara Pittman,56.23964364259615,Kara,Pittman,False
Andrew Cowan,295.93918116436095,Andrew,Cowan,True
